english,sinhala,tamil
Bad,නරක,கேடு 
Beautiful,ලස්සන,அழகான
Careful,පරිස්සමින්,கவனமாக
Cold,සීතල,குளிர்
Deep,ගැඹුරු,ஆழமான
Different,වෙනස්,வேறுபட்ட
Difficult,අපහසු,சிரமமான
Double,දෙගුණ,இரட்டை
Fast,වේගවත්,வேகமான
Fat,මහත,கொழுப்பு
Free,නොමිලේ,இலவசம்
Full,සම්පූර්ණ,நிரம்பிய
Good,හොඳ,நல்ல
Happy,සතුට,சந்தோஷம்
Hard,දැඩි,கடினம்
Healthy,සෞඛ්‍ය සම්පන්න,ஆரோக்கியம்
High,ඉහළ,உயரமான
Independent,ස්වාධීන,சுயாதீன
Less,පහළ,குறைவு
Loose,ලිහිල්,தளர்ந்த
Low,අඩු,தாழ்ந்த
Next,ඊළඟ,அடுத்து
Nice,හොඳ,நன்றான
Not good,හොඳ නැහැ,நல்லதல்ல
Old,පැරණි,பழைய
Past,අතීත,கடந்த
Positive,ධනාත්මක,நேர்மறை
Present,වර්තමාන,தற்போது
Quick,ඉක්මන්,விரைவான
Rich,පොහොසත්,பணக்காரன்
Same,එකම,அதே
Senior,ජ්‍යෙෂ්ඨ,மூத்தவர்
Small,කුඩා,சிறிய
Soft,මෘදු,மென்மையான
Strong,ශක්තිමත්,வலிமையான
Thirsty,පිපාසය,தாகம்
Tight,පටු,குறுகிய
Ugly,කැතයි,அசிங்கமான
Welcome,සාදරයෙන් පිළිගනිමු,வரவேற்பு
Wrong,වැරදි,தவறு
Again,නැවත,மீண்டும்
Also,ද,மேலும்
Can,පුළුවන්,முடியும்
Can't,බැහැ,முடியாது
Clearly,පැහැදිලිව,தெளிவாக
Don’t,කරන්න එපා,செய்யாதே
Don’t know,දන්නේ නැහැ,தெரியாது
Here,මෙහි,இங்கே
Instead,වෙනුවට,பதிலாக
Never,කිසිවිටෙකත්,ஒருபோதும் இல்லை
Not like (dislike),අකමැති,பிடிக்கவில்லை
When,කවදාද,எப்போது
Where,කොහේද,எங்கே
Why,ඇයි,ஏன்
Black,කළු,கருப்பு
Blue,නිල්,நீலம்
Brown,දුඹුරු,பழுப்பு
Color,වර්ණ,நிறம்
Gold,රන්,தங்கம்
Gray,අළු,சாம்பல்
Green,කොළ,பச்சை
Grey,අළු,சாம்பல்
Orange,තැඹිලි,ஆரஞ்சு
Pink,රෝස,இளஞ்சிவப்பு
Purple,දම්,ஊதா
Red,රතු,சிவப்பு
White,සුදු,வெள்ளை
Yellow,කහ,மஞ்சள்
Or,හෝ,அல்லது
Day,දිනය,நாள்
Day after tomorrow,අනිද්දා,நாளை மறுநாள்
Evening,සැන්දෑව,மாலை
Friday,සිකුරාදා,வெள்ளி
Good evening,සුබ සන්ධ්‍යාවක්,இனிய மாலை வணக்கம்
Good morning,සුබ උදෑසනක්,காலை வணக்கம்
Good night,සුබ රාත්‍රියක්,இனிய இரவு
Hour,පැය,மணி
Monday,සඳුදා,திங்கள்
Morning,උදෑසන,காலை
Night,රාත්‍රිය,இரவு
Saturday,සෙනසුරාදා,சனி
Seconds,තත්පර,நொடிகள்
Sunday,ඉරිදා,ஞாயிறு
Thursday,බ්‍රහස්පතින්දා,வியாழன்
Time,වේලාව,நேரம்
Today,අද,இன்று
Tomorrow,හෙට,நாளை
Tuesday,අඟහරුවාදා,செவ்வாய்
Wednesday,බදාදා,புதன்
Week,සතිය,வாரம்
Yesterday,ඊයේ,நேற்று
No,නෑ,இல்லை
Alright,හරි,சரி
Ayubowan,ආයුබෝවන්,ஆயுபோவன்
Hello,හෙලෝ,வணக்கம்
How are you,ඔයාට කොහොම ද,எப்படி இருக்கீங்க
Thank you,ස්තුතියි,நன்றி
Yes,ඔව්,ஆம்
January,ජනවාරි,ஜனவரி
February,පෙබරවාරි,பிப்ரவரி
March,මාර්තු,மார்ச்
April,අප්‍රේල්,ஏப்ரல்
May,මැයි,மே
June,ජූනි,ஜூன்
July,ජූලි,ஜூலை
August,අගෝස්තු,ஆகஸ்ட்
September,සැප්තැම්බර්,செப்டம்பர்
October,ඔක්තෝබර්,அக்டோபர்
November,නොවැම්බර්,நவம்பர்
December,දෙසැම්බර්,டிசம்பர்
Month,මාසය,மாதம்
Year,වර්ෂය,ஆண்டு
Article,අධ්‍යයන ලිපිය,கட்டுரை
Bag,බෑගය,பை
Bed,ඇඳ,படுக்கை
Book,පොත,புத்தகம்
Camera,කැමරාව,கேமரா
Card,කාඩ්පත,அட்டை
Cat,පූසා,பூனை
Ceiling fan,සීලින් ෆෑන්,விசிறி
Cell phone,ජංගම දුරකථනය,மொபைல்
Chain,දාමය,சங்கிலி
Children,දරුවන්,குழந்தைகள்
Choice,තේරීම,தேர்வு
Clothing,ඇඳුම්,உடைகள்
Computer,පරිගණකය,கணினி
Cow,එළදෙන,பசு
Crocodile,කිඹුලා,முதலை
Culture,සංස්කෘතිය,பண்பாடு
Door,දොර,கதவு
Elephant,අලියා,யானை
Eye,ඇස,கண்
Eyes,ඇස්,கண்கள்
Face,මුහුණ,முகம்
Fever,උණ,காய்ச்சல்
Flower,මල,மலர்
Food,ආහාර,உணவு
Group,කණ්ඩායම,குழு
Gun,තුවක්කුව,துப்பாக்கி
Hat,තොප්පිය,தொப்பி
He,ඔහු,அவன்
Health,සෞඛ්‍යය,உடல்நலம்
Hill,කන්ද,மலை
How many,කොපමණද,எத்தனை
How much,කොපමණද,எவ்வளவு
I,මම,நான்
Instead,වෙනුවට,பதிலாக
Impact,බලපෑම,தாக்கம்
Internet,අන්තර්ජාලය,இணையம்
Key,යතුර,சாவி
Laptop,ලැප්ටොප්,லேப்டாப்
List,ලැයිස්තුව,பட்டியல்
Lock,අගුල,பூட்டு
Middle,මැද,நடுவில்
Milk,කිර,பால்
Mind,මනස,மனம்
Money,මුදල්,பணம்
Moon,සඳ,நிலா
Movie,චිත‍්‍රපටය,திரைப்படம்
My,මගේ,என்
Network,ජාලය,நெட்வொர்க்
None,කිසිවක් නැත,எதுவும் இல்லை
OK,හරි,சரி
Our,අපේ,எங்கள்
Paint,තීන්ත,வர்ணம்
Path,මාවත,பாதை
Peace,සාමය,அமைதி
Pencil,පැන්සල,பென்சில்
Phone,දුරකථනය,தொலைபேசி
Pocket,සාක්කුව,பாக்கெட்
Point,ලක්ෂ්‍යය,புள்ளி
Problem,ප්‍රශ්නය,பிரச்சனை
Radio,ගුවන්විදුලිය,ரேடியோ
Ring,මුද්ද,மோதிரம்
Sand,වැලි,மணல்
Saree,සාරි,சேலை
Shirt,කමිසය,சட்டை
Sign,සංඥා ,அடையாளங்கள்
Sign language,සංඥා  භාෂාව,கைகாட்டி மொழி
Skirt,සාය,பாவாடை
Society,සමාජය,சமூகம்
Song,ගීතය,பாடல்
Squirrel,ලේනා,அணில்
Street,වීදිය,தெரு
Structure,ව්‍යුහය,அமைப்பு
Suit,මිහිරි,สูட்
Table,මේසය,மேசை
Tea,තේ,தேநீர்
Team,කණ්ඩායම,குழு
Technology,තාක්ෂණය,தொழில்நுட்பம்
Telephone,දුරකථනය,தொலைபேசி
They,ඔවුන්,அவர்கள்
Tree,ගස,மரம்
Weather,කාලගුණය,வானிலை
Who,කවුද,யார்
Whom,කාටද,யாருக்கு
Whose,කාගේද,யாருடையது
Window,කවුළුව,ஜன்னல்
You,ඔයා,நீ
One,එක,ஒன்று
Two,දෙක,இரண்டு
Three,තුන,மூன்று
Four,හතර,நான்கு
Five,පහ,ஐந்து
Six,හය,ஆறு
Seven,හත,ஏழு
Eight,අට,எட்டு
Nine,නවය,ஒன்பது
Ten,දහය,பத்து
Eleven,එකොළහ,பதினொன்று
Twelve,දොළහ,பன்னிரண்டு
Thirteen,දහතුන,பதின்மூன்று
Fourteen,දහහතර,பதிநான்கு
Fifteen,පහළහ,பதினைந்து
Sixteen,දහසය,பதினாறு
Seventeen,දහහත,பதினேழு
Eighteen,දහඅට,பதினெட்டு
Nineteen,දහනවය,பத்தொன்பது
Twenty,විස්ස,இருபது
Addition,එකතු කිරීම,கூட்டல்
Count,ගණන් කරන්න,எண்ணிக்கை
Divide,බෙදන්න,வகுத்தல்
Equal,සමාන,சமம்
Multiplication,ගුණ කිරීම,பெருக்கல்
Subtraction,අඩු කිරීම,கழித்தல்
Aunt,නැන්දා,மாமி 
Baby,බබා,குழந்தை
Bro,සහෝදරයා,சகோதரன்
Brother-in-law,මස්සිනා,மைத்துனர்
Child,දරුවා,குழந்தை
Daughter,දුව,மகள்
Doctor,වෛද්‍යවරයා,மருத்துவர்
Elder bro,අයියා,அண்ணன்
Elder sister,අක්කා,அக்கா
Families,පවුල්,குடும்பங்கள்
Family,පවුල,குடும்பம்
Father,තාත්තා,அப்பா
Grand father,සීයා,தாத்தா
Grand mother,ආච්චි,பாட்டி
Grand son,මුණුපුරා,பேரன்
Husband,සැමියා,கணவன்
Lady,කාන්තාව,பெண்மணி
Man,මිනිසා,ஆண்
Mother,අම්මා,அம்மா
Player,ක්‍රීඩකයා,வீரர்
Police,පොලිසිය,போலீஸ்
Relations,ඥාති,உறவினர்
She,ඇය,அவள்
Sister,සහෝදරිය,சகோதரி
Sister-in-law,නෑනා,மைத்துனி
Song,ගීතය,பாடல்
Thief,හොරා,திருடன்
Uncle,මාමා,மாமா
Us,අපි,நாம்
Wife,බිරිඳ,மனைவி
Younger bro,මල්ලි,தம்பி
Younger sister,නංගී,தங்கை
Airport,ගුවන්තොටුපළ,விமான நிலையம்
Bank,බැංකුව,வங்கி
Bus station,බස් නැවතුම්පළ,பேருந்து நிலையம்
Church,පල්ලිය,தேவாலயம்
Hospital,රෝහල,மருத்துவமனை
House,නිවස,வீடு
Location,ස්ථානය,இடம்
Next door,අල්ලපු ගෙදර,அடுத்த வீடு
Police station,පොලිස් ස්ථානය,காவல் நிலையம்
Road,මාර්ගය,சாலை
Shop,සාප්පුව,கடை
Temple,පන්සල,கோவில்
Train station,දුම්රිය ස්ථානය,ரயில் நிலையம்
After,පසු,பிறகு
Around,වටා,சுற்றி
In,තුල,உள்ளே
Inside,ඇතුලතින්,அகத்தில்
Near,ළඟ,அருகில்
On,මත,மீது
Out,පිට,வெளியே
Over,ඉහළින්,மேல்
Than,වඩා,விட
To,වෙත,செய்ய
Until,දක්වා,வரை
Up,ඉහළට,மேலே
Bicycle,බයිසිකලය,மிதிவண்டி
Boat,බෝට්ටු,படகு
Bus,බස්,பேருந்து
Car,කාර්,கார்
Motorcycle,මෝටර්සයිකල්,மோட்டார்சைக்கிள்
Plane,ගුවන් යානය,விமானம்
Tire,ටයර්,டயர்
Train,දුම්රිය,ரயில்
Van,වෑන්,வேன்
Vehicle,වාහනය,வாகனம்
Allow,ඉඩ දෙන්න,அனுமதி
Bathe,නානවා,குளிக்கவும்
Boil,උනු,கொதிக்கவும்
Break,කඩනවා,உடைக்க
Bring,අරගෙන ආ,கொண்டு வா
Buy,ගන්නවා,வாங்கு
Carry,උස්සනවා,தூக்கு
Change,වෙනස් කරන්න,மாற்று
Choose,තෝරන්න,தேர்வு செய்
Click,ක්ලික් කරන්න,கிளிக்
Come,එන්න,வா
Connect,සම්බන්ධ කරන්න,இணை
Cook,උයන්න,சமைக்கவும்
Copy,පිටපත් කරන්න,நகலெடு
Cough,කැස්ස,இருமல்
Cover,ආවරණය කරන්න,மூடு
Cry,අඬන්න,அழு
Cut,කපන්න,வெட்டு
Dance,නටන්න,நடனம்
Done,අවසන් කලා,முடிந்தது
Draw,අඳින්න,வரைய
Drink,බොන්න,குடிக்கவும்
Eat,කන්න,சாப்பிடு
Enter,ඇතුල් වන්න,உள்ளே வா
Erase,මකන්න,அழி
Exchange,මාරු කරන්න,மாற்றவும்
Feel,හැඟීම,உணருங்கள்
Fight,සටන් කරන්න,சண்டை
Follow,අනුව,பின்தொடர்
Get up,නැඟිටින්න,எழுந்திரு
Give,දෙන්න,கொடு
Go,යන්න,போ
Guide,මඟ පෙන්වන්න,வழிகாட்டி
Hang,රැඳී සිටින්න,தொங்கு
Hear,අහන්න,கேள்
Help,උදව් කරන්න,உதவி
Hit,මරන්න,அடிக்க
How,කොහොමද,எப்படி
I know,මම දන්නවා,எனக்கு தெரியும்
Jump,පනින්න,குதிக்க
Knock,තට්ටු කරන්න,தட்டவும்
Laugh,හිනාවන්න,சிரிக்கவும்
Lead,නායකත්වය,தலைமைத்துவம்
Let,ඉඩ දෙන්න,அனுமதிக்க
Like,කැමතියි,விருப்பு
Listen,අහන්න,கேள்
Look,බලන්න,பார்க்க
Love,ආදරය,காதல்
Make,සාදන්න,செய்ய
Meet,හමු වෙන්න,சந்திக்க
Now,දැන්,இப்போது
Open,විවෘත කරන්න,திற
Order,ඇණවුම් කරන්න,ஆர்டர்
Peeing,මුත්‍රා කිරීම,சிறுநீர் கழிக்க
Player,ක්‍රීඩකයා,பிளேயர்
Pull,ඇදගෙන යන්න,இழுத்து
Put,දමන්න,போடு
Quickly,ඉක්මන්,விரைவாக
Run,දුවන්න,ஓடு
Scratch,ගහන්න,கீறல்
Search,සෙවීම,தேடு
See,බලන්න,பார்
Select,තෝරන්න,தேர்வு
Sell,විකුණන්න,விற்க
Show,පෙන්වන්න,காட்ட
Sit,ඉඳගන්න,உட்கார்
Sleep,නිදාගන්න,தூங்கு
Smile,සිනාව,புன்னகை
Stop,නවතන්න,நிறுத்து
Study,අධ්‍යයනය,படிப்பு
Sweep,අතුගා දැමීම,ஸ்வீப்
Swim,පිහිනන්න,நீந்து
Take,ගන්න,எடு
Talk,කතා කරන්න,பேசு
Teach,ඉගැන්වීම,கற்பிக்க
Tear,ඉරීම,கண்ணீர்
Tell,කියන්න,சொல்
Text,පණිවුඩය,செய்தி
Think,හිතන්න,யோசி
Throw,විසි කරන්න,எறி
Trust,විශ්වාස කරන්න,நம்பிக்கை
Understand,තේරුම් ගන්න,புரிந்து கொள்
Use,භාවිත කරන්න,பயன் படுத்து
Visit,පිවිසෙන්න,வருகை
Walk,ඇවිදින්න,நடக்கவும்
Want,අවශ්‍යයි,விரும்பு
Wash,සෝදන්න,கழுவு
Watch,බලන්න,பார்
Work,වැඩ කරන්න,வேலை செய்
Write,ලියන්න,எழுத
